,tweet_id,sentiment,author,content
0,1956967341,empty,xoshayzers,tiffanylu know listenin bad habit ear start freakin part
1,1956967666,sadness,wannamama,layin n bed headach ughhhh ... waitin cal ...
2,1956967696,sadness,coolfunky,fun ceremon ... gloom friday ...
3,1956967789,enthusiasm,czareaquino,want hang friend soon
4,1956968416,neutral,xkilljoyx,dannycastillo we want trad someon houston ticket on
5,1956968477,worry,xxxPEACHESxxx,re-ping ghostridah14 n't go prom bc bf n't lik friend
6,1956968487,sadness,ShansBee,i sleep im think old friend i want 's marr damn amp want 2 scand
7,1956968636,worry,mcsleazy,hmmm http //www.djhero.com/
8,1956969035,sadness,nic0lepaula,charviray charl lov i miss
9,1956969172,sadness,Ingenue_Em,kelcouch i 'm sorr least 's friday
10,1956969456,neutral,feinyheiny,cant fal asleep
11,1956969531,worry,dudeitsmanda,chok retain
12,1956970047,sadness,Danied32,ugh i beat stupid song get next rud
13,1956970424,sadness,Samm_xo,brodyjen u watch hil london u real tourt week week lat watch itonlinelol
14,1956970860,surprise,okiepeanut93,got new
15,1956971077,sadness,Sim_34,the storm elect gon
16,1956971170,love,poppygallico,annaroseker agr
17,1956971206,sadness,brokenangel1982,so sleep 's ev lat i fail
18,1956971473,worry,LCJ82,perezhilton lad gag tweet impress video leak know
19,1956971586,sadness,cleepow,how you convint i alway want what sign i giv ... damn i think i lost ano friend
20,1956971981,worry,andreagauster,raaaaaaek oh bad i hop get bet i 've sleep issu lat
21,1956972097,fun,schiz0phren1c,wond i 'm awak 7am writ new song plot evil secret plot muahahah ... oh damn secret anym
22,1956972116,neutral,jansc,no top map talk bal markup conf 2009 program onlin http //tr.im/ml6z via bobdc topicmap
23,1956972270,worry,sweet8181,i at some i n't know ... whi i keep tel thing food
24,1956972359,sadness,xamountoftruth,tir think 'm definit go get ear infect go bed quot earl quot
25,1956972444,worry,jomama6881,on way hom n 2 deal w und girl drink gin da bu talk bout keg ... ... damn feel old
26,1956972557,sadness,LilithGaea,isaacmascot 'm sorr peopl rud isaac get man know bet lewd
27,1956972884,worry,oONEPTUNEOo,dam serv stil nee hit 80 koxp pass
28,1956973598,sadness,username_origin,fudg ... just bs 'd whol pap ... so tir ... ugh i hat school ... .. tim sleep
29,1956973690,worry,catchtheapple,i hat cant i hat it i hat it i hat it
30,1956974706,hate,MavrickAces,it annoy start typ comput middl night
31,1956975441,neutral,LovableKeKe,cynthia_123 cant sleep
32,1956975860,neutral,analalalah,i miss bl***i bu
33,1956975876,neutral,jubaldo,feel strong contract want go http //plurk.com/p/wxidk
34,1956975927,neutral,mikhaelaela,soc stok mayb not.. tomorrow
35,1956976187,neutral,ivoflipse5,screw davidbruss i 3 week ...
36,1956976312,sadness,amy__xx,ether_radio yeah s feel funn cau n't slept enough wok mum cau sing 's impress s
37,1956976371,worry,babyxj,i nee skot right
38,1956976557,neutral,JanBenn,work afternoon
39,1956976681,neutral,HarryHarley,gabbyisact aw would unfollow would then i would cri
40,1956977084,happiness,ktierson,mmm much bet day ... far 's stil quit earl last day ud
41,1956977187,fun,diNGUYEN31,davidarch lt 3 gon na first twit cau amaz lol com canad would any see perform
42,1956977618,worry,MDD113,pick blackberr middl street both crush
43,1956977624,worry,alexsnaps,whi i feel i pack hit sfo around tim year i think i 'm miss some ...
44,1956978276,empty,Aggie9,crey middl school elem high school remain op nee credit gradu cal brok
45,1956978410,worry,TannerMade,bed ... tim ... .. hop go school tomorrow though n't feel wel right
46,1956978668,worry,bryancheung,onscrn ahh ... wel i hop i could learn stuff way ... whi i work sep thing also
47,1956979150,sadness,rionne,i 'm problem photo twit amf ... ca n't see fac
48,1956979437,neutral,shenamygans,jakeboyd oh noooo blow tir 're reaaaall go send batm smok
49,1956979756,neutral,ryarellano,wnna tak bath
50,1956979894,neutral,lookitsholly,chocol milk much bet straw i lack said straw
51,1956979900,worry,a_schmel,tir
52,1956979917,empty,Dreness023,djmicdamn hey yu lil fuck textd yu
53,1956980788,neutral,nathaliep,mennard tim diff 've wrap day day stuff hav tweet talk soon must sleep ... 6hr
54,1956980883,neutral,hollywoods500,benb way damn suck b ok
55,1956980972,worry,syl3nt,suck abl tak day work money tak trip sad
56,1956981427,enthusiasm,Caillie,bed ... sort today good sar strep thought angelin shar wat b4 told prob get
57,1956981850,neutral,robuttley,ramtop recess hotel restruct account don ad bit press short term 'll cop
58,1956982075,neutral,minamic,lostlun but i got dib sulu ...
59,1956982383,sadness,Ameeee,maternityt aww onward upward yay stil sad leav i bet
60,1956982449,worry,DawnofOURnight,itsgabbi hah poor ab stil get sor
61,1956982576,sadness,kShadhavar,diesel yar ... 70mpg sad avail us that 'd awesom
62,1956982605,sadness,Diyeni,i want buy gre alb unfortun dont hav enuff fund quot long tim nois quot
63,1956983160,sadness,crittyjoy,pokinatch honest ... pain blech
64,1956983171,sadness,paulyum,ok ... passeng ... on al ... 're dead ... n't know til end ... cri ...
65,1956983467,neutral,njc87,at hom alon much
66,1956983509,worry,heyitsmisti,davidcooklov ia much n't reall happ cook cho singl
67,1956983690,sadness,Trishalove,vincew stefanyngo fel asleep beach n't put enough sunscreen lol
68,1956983851,worry,sweetkisses277,so think son might flu cau i def cle stank puk mess poor pumkpin
69,1956983874,happiness,joia,so gre see oin amp cynth so happ din gre cut littl plac too bad oin got sick afterward
70,1956983931,neutral,MunkyMunch,i cant giv jertron bday nudg
71,1956984185,worry,HarryLyme,... wom transf first impress sexual/matern onto less 'threaten man -- weak 'him
72,1956984205,neutral,chicabajoelsol,broth bloom wo n't op weekend el paso i 'll buy brick enjoy i watch broth bloom
73,1956984559,neutral,Marielii,say i miss plurk http //plurk.com/p/wxion
74,1956984864,worry,Amantou,bit blood cat way rab bacterin seem 7 shot 2 mon nev wash cat hom hat wat
75,1956984894,neutral,Chai_Bo,i miss voob
76,1956985129,neutral,Cookphotos,dancing_monk neith elp
77,1956985535,happiness,quarrygirl,havingmysay dud favorit sandwich plac ev umm tak pict
78,1956985612,worry,juliehuang,sad shin ae got marr ... n't alex
79,1956985758,worry,jazz_angela,shondarhim sur tweet 're back new abuzz tr knight 's leav quot confirm quot today muy trist
80,1956985764,sadness,Samm_xo,rachellock22 ohh thursday exams.. day wednesday
81,1956985973,neutral,ssabz,mix dent appt afternoon resched tomorrow 9am
82,1956986211,sadness,metaphysical1,gcrush nopantsd think excit guy mov real sad see go
83,1956986359,worry,bittenbyte,goooood mooorn peopl ... sun out.. definitl spring first spring hail storm car dimpl now..
84,1956986767,sadness,AshLaws,artfuldodg i lov 'it'sakey usb stick we 4gb austral
85,1956987381,worry,supkeke,fresh print sleep sleep nightl routin got ta go dmv earl tmrw
86,1956987600,hate,naterkane,dammit hulu desktop tot screw abl talk particul port on dev serv ca n't watch cod
87,1956987828,worry,palomalopes24,emmarl jealou mom talk taylorswift13 want see twit mak miss
88,1956987904,worry,creativevixen86,i ca n't sleep ... i keep think pupp i play today
89,1956987950,worry,smiles4dayyz,.. i 'm supppo sleep but got much amp got on part song stuck head quot jerk iknow quot blaahh
90,1956988145,neutral,padfootly,lepetitagneau 's go sweetheart
91,1956988218,neutral,callatya,how freak difficult get system-wid spellcheck shit i 'd settl off suit on stupid unhelp window
92,1956988223,worry,kabilan,last on mon due sum strawberri availbl chenna market
93,1956988477,neutral,enlightenthem,willxxmob work 6am got ta go bed soon
94,1956989093,love,Angela_Grace,robertf3 correct i ad i pluck put arm cuz cryin al bet hahah
95,1956989514,sadness,yellowduckx,sweeetnspic hii im ipod ... cant fal asleep
96,1956989526,sadness,KaKuBby,dont wan na work 11-830 tomorrow get paid
97,1956989560,sadness,benchidol,feel sad coz wasnt abl play guy http //plurk.com/p/wxiux
98,1956989561,neutral,outrAjusCharmer,princecharm
99,1956989601,hate,M0anique,cayog want com bz sum sur anym ... teach 's lif sum suck
100,1956989914,worry,Fowl2,first ev drop cal mobl on cal telstr less charg dat ev though i dat pack
101,1956990288,hate,MissPassion,mrgenius23 you win ... sigh rakeem
102,1956990413,neutral,Wendywitwoo,oh tim real
103,1956990568,sadness,sarah_walter,darn allerg i n't lik tim year i nev us problem eith
104,1956990729,worry,marpizza,oh on minut lat oh wel
105,1956991009,hate,rdyfrde,soviet_star damn suck
106,1956991673,sadness,M0anique,cayog want com bz sum sur anym ... teach 's lif sum suck
107,1956991704,hate,Tweetyangie,mileycyru thi websit gav me a viru when op window kept pop
108,1956991723,worry,briwyatt,ahh big scar bug fli around room
109,1956992030,sadness,mafiaman8108,i wish knew put through..sh stol heart nev gav back..and occas lik lik look i
110,1956992144,worry,Margotkay,nast cough cant sick hug weekend ahead
111,1956992349,neutral,jarekpastor,justamedicin that ston cold craz ...
112,1956993007,boredom,villa_ld,'m tir
113,1956993080,neutral,cheiyinkeithsui,shift tim bby biochem waaaaahhhhhh http //plurk.com/p/wxizo
114,1956993206,neutral,dashdragan,melbournegirl i 'm sur some1 cum play i 'm workin til midnight
115,1956994067,neutral,lockerhaxor,thecreativeon i second i wish rain i
116,1956995196,sadness,jnvelasquez912,neesabear earl happ day bir cas i n't mak ver tir therap today n tak medicin misshu lov ya
117,1956995505,neutral,twakatovsrocks,damn er anyon el nee hair play
118,1956995679,neutral,jmil1733,i 'm feel defl ugh no dog
119,1956995762,sadness,foxtail84,allerg suck duck nut lt =====8 8===== gt
120,1956995852,neutral,ErikaAlexxis,wel almost good day ... guess i retr tomorrow
121,1956996081,hate,snursalim,iamyet waraku tasteless exp port littl waraku
122,1956996385,love,votech,freepbx sound good apprec suggest been week 're stil offlin tim ask refund ...
123,1956996470,worry,ohmygoshnina,poinktoinkdoink he die wait mag jack i read
124,1956996673,hate,Merekdavis,britblackbird youstinkatrespondingtotext
125,1956996730,sadness,Rowch,wond karm point turn 0.00. http //plurk.com/p/wxj54
126,1956996765,happiness,rarmendariz,nee pack cal cal can waitt think glass win ord celebr weekend vac stil work 2morrow tho
127,1956996776,sadness,KitaCupcake,is mis feel lik im gon cri sux
128,1956997143,neutral,louiethecat,megturney wel i ran beer i left not sur et wait wait wait bleh gon na long nit methink
129,1956997352,worry,1azylizzie,my nos stud fel i ca n't find look lik i 'll head amsterdam today get new on
130,1956997619,neutral,kudosbeauty,clair breakfastnt lov show got off 5am radio
131,1956998370,love,rockinchick11,pat phill 2 i lov mmm cheesesteak miss boyfriend i lov vac
132,1956998532,sadness,katienaas,*sigh* i 'm go bed ... i n't feel right anym ...
133,1956998538,neutral,jeannicole,what i foc tom much i n't see belov barack oh i must vot poor presid 626 vot
134,1956998698,neutral,FoOie,jwillock ep wheelock plac tour only..
135,1956998704,sadness,sillynic,now i depress watch think dant
136,1957000040,sadness,minauderie,just cross 'caus i 'm stuck twiddl thumb ugh
137,1957000077,neutral,danzjoe,miss 16'th
138,1957000152,neutral,RoxieDax,theharvard i know but lik i said i ide long tak investig stuff
139,1957000290,worry,Ohtybaby,i cant sleep im sor mov
140,1957000314,neutral,Phenikone,lafloozit http //twitpic.com/4phz aw i miss bab
141,1957000336,empty,Gen22,softtouchm answ you- nev learn writ french- bas stuff-
142,1957000372,neutral,cv70,chocol nev say
143,1957000788,worry,zpavic,achiev new apprec xml build script reall pain cumbersom
144,1957001049,neutral,amy__xx,ether_radio 'm awak il nap afternoon
145,1957001370,worry,katlovesjoelk,omfgisel cant any
146,1957001496,neutral,miss_sammi,stil nee ano 6 hour sleep
147,1957001506,relief,benmfowler,i 'm work
148,1957001854,fun,Samiijoo,rip leonardo you gre min fiddl crab
149,1957001967,neutral,mozwold,morn tweepl way earl
150,1957002082,sadness,V0NST3V3,last day work un today sad tim
151,1957002773,love,UncoolRockstar,nisforneemah thank neemah i 'm gon na soooo clos izz yet far
152,1957002923,worry,indpndentgirly,my head hurt bad i could scream
153,1957003048,worry,rianne_kelsey,go im so tir airmatr brok somewh im ev pain
154,1957003356,worry,nettlej,new work wel challeng go wel i commit check email 10 pm 6 fail first day twic
155,1957003440,worry,autotips,new blog post blog auto ins ... i found auto ins polic expir i careless ... .. meanw ...
156,1957003715,neutral,BlaqueBeautyy,bestfriend mia wat
157,1957004184,worry,rionne,oh men ... ... i reall ca n't see fac ... ... ..c'mon guy
